Fácil;O que é uma variável em programação?;Um valor fixo;Um espaço na memória para guardar dados;Um tipo de erro;Um comando de repetição;Um espaço na memória para guardar dados;Programação
Fácil;Qual símbolo é comum para terminar linhas em Java?;:;.;,;;;;Programação
Fácil;O que significa a sigla HTML?;HyperText Markup Language;High Tech Machine Learning;Home Tool Make Line;Hyper Link Text Mode;HyperText Markup Language;Programação
Fácil;Qual é o valor de uma variável booleana?;0 ou 10;Verdadeiro ou Falso;Texto ou Número;Positivo ou Negativo;Verdadeiro ou Falso;Programação
Fácil;Qual comando é usado para exibir texto na tela em muitas linguagens?;read();print();scan();loop();print();Programação
Fácil;O que é um "bug"?;Um recurso novo;Um tipo de vírus;Uma falha ou erro no código;Um componente de hardware;Uma falha ou erro no código;Programação
Fácil;Qual destes é um número inteiro (int)?;10.5;"Texto";42;True;42;Programação
Fácil;Para que serve o comando "if"?;Para repetir um código;Para tomar uma decisão baseada em condição;Para declarar uma variável;Para parar o programa;Para tomar uma decisão baseada em condição;Programação
Fácil;Qual destes é um hardware?;Windows;Microsoft Word;Teclado;Navegador Chrome;Teclado;Programação
Fácil;O que é um loop (laço)?;Uma variável de texto;Uma repetição de código;Uma função matemática;Um erro de sintaxe;Uma repetição de código;Programação
Fácil;Qual é o resultado de 10 % 3 (resto da divisão)?;1;3;0;10;1;Programação
Fácil;Em Java, como se comenta uma única linha?;;/* Comentário */;# Comentário;// Comentário;// Comentário;Programação
Fácil;O que é um algoritmo?;Um tipo de computador;Uma sequência de passos para resolver um problema;Uma peça de hardware;Uma linguagem de programação;Uma sequência de passos para resolver um problema;Programação
Fácil;Qual destas é uma linguagem de programação?;HTML;MP3;JPEG;Python;Python;Programação
Fácil;O que significa "CPU"?;Central Process Unit;Computer Personal Unit;Central Power Usage;Control Panel Unit;Central Process Unit;Programação
Fácil;Qual tipo de dado armazena texto?;int;boolean;String;double;String;Programação
Fácil;O que é um Array (Vetor)?;Um único número;Uma lista de variáveis do mesmo tipo;Um erro de compilação;Um banco de dados;Uma lista de variáveis do mesmo tipo;Programação
Fácil;O que faz o operador "=="?;Atribui valor;Compara se dois valores são iguais;Soma dois valores;Divide dois valores;Compara se dois valores são iguais;Programação
Fácil;Qual a função da memória RAM?;Armazenar dados permanentemente;Processar gráficos;Armazenar dados temporários enquanto o PC está ligado;Resfriar o computador;Armazenar dados temporários enquanto o PC está ligado;Programação
Fácil;O que é código-fonte?;O manual do usuário;O texto escrito pelo programador;O arquivo executável final;A marca do computador;O texto escrito pelo programador;Programação
Fácil;Qual destes é um sistema operacional?;Google Chrome;Java;Linux;Mouse;Linux;Programação
Fácil;O que significa "identação"?;Apagar o código;Organizar o código com recuos para leitura;Colorir o código;Compilar o código;Organizar o código com recuos para leitura;Programação
Fácil;O que é um bit?;8 bytes;A menor unidade de informação (0 ou 1);Um tipo de monitor;Um vírus;A menor unidade de informação (0 ou 1);Programação
Fácil;Qual operador usamos para multiplicação?;x;.;#;*;*;Programação
Fácil;O que é um "loop infinito"?;Um loop que nunca para;Um loop muito rápido;Um loop que roda 1000 vezes;Um jogo sem fim;Um loop que nunca para;Programação
Fácil;Qual destes NÃO é uma linguagem de programação?;Java;C++;Excel;Ruby;Excel;Programação
Fácil;O que é concatenação?;Somar números;Juntar duas ou mais strings (textos);Dividir arquivos;Apagar variáveis;Juntar duas ou mais strings (textos);Programação
Fácil;Qual é a extensão de um arquivo Java?;.js;.txt;.java;.py;.java;Programação
Fácil;O que o comando "else" faz?;Inicia um programa;Define uma variável;Executa um bloco se a condição do "if" for falsa;Repete o código;Executa um bloco se a condição do "if" for falsa;Programação
Fácil;O que é a nuvem (Cloud Computing)?;Um satélite;Servidores acessados pela internet para armazenar dados;Um tipo de monitor;Uma rede social;Servidores acessados pela internet para armazenar dados;Programação
Fácil;Qual número representa "falso" em binário?;1;0;10;-1;0;Programação
Fácil;O que é IDE?;Um jogo;Um ambiente de desenvolvimento integrado;Uma marca de computador;Um tipo de internet;Um ambiente de desenvolvimento integrado;Programação
Fácil;O que é Open Source?;Software pago;Software com código aberto e livre;Software pirata;Software que não funciona;Software com código aberto e livre;Programação
Fácil;Qual a função do compilador?;Digitar o código;Traduzir o código fonte para linguagem de máquina;Limpar a tela;Salvar o arquivo;Traduzir o código fonte para linguagem de máquina;Programação
Fácil;O que é um "backup"?;Um vírus;Uma cópia de segurança dos dados;Um computador novo;Uma senha forte;Uma cópia de segurança dos dados;Programação
Fácil;Qual tecla geralmente atualiza uma página web?;F1;F5;Alt;Esc;F5;Programação
Fácil;O que é Wi-Fi?;Internet via cabo;Internet sem fio;Um programa de edição;Uma marca de celular;Internet sem fio;Programação
Fácil;Qual símbolo representa "maior que"?;<;=;>;#;>;Programação
Fácil;O que é um "pixel"?;Um tipo de som;O menor ponto de uma imagem digital;Um cabo de rede;Uma tecla;O menor ponto de uma imagem digital;Programação
Fácil;Qual empresa criou o Windows?;Apple;Google;Microsoft;IBM;Microsoft;Programação
Fácil;Qual é a capital do Brasil?;Rio de Janeiro;São Paulo;Brasília;Salvador;Brasília;Gerais
Fácil;Quantos dias tem uma semana?;5;6;7;8;7;Gerais
Fácil;Qual a cor do céu em um dia limpo?;Verde;Azul;Amarelo;Roxo;Azul;Gerais
Fácil;Qual é o maior planeta do Sistema Solar?;Terra;Marte;Júpiter;Saturno;Júpiter;Gerais
Fácil;Quantas horas tem um dia?;12;20;24;48;24;Gerais
Fácil;Em qual continente fica o Brasil?;África;Europa;Ásia;América do Sul;América do Sul;Gerais
Fácil;Qual fruta a Branca de Neve comeu?;Banana;Pera;Uva;Maçã;Maçã;Gerais
Fácil;Qual é a moeda usada no Brasil?;Dólar;Euro;Real;Peso;Real;Gerais
Fácil;O que as abelhas produzem?;Leite;Mel;Algodão;Seda;Mel;Gerais
Fácil;Quantos meses tem um ano?;10;11;12;13;12;Gerais
Fácil;Quem descobriu o Brasil?;Cristóvão Colombo;Pedro Álvares Cabral;Dom Pedro I;Tiradentes;Pedro Álvares Cabral;Gerais
Fácil;Qual é o oposto de "frio"?;Gelado;Morno;Quente;Congelado;Quente;Gerais
Fácil;Qual instrumento é usado para medir temperatura?;Barômetro;Termômetro;Velocímetro;Régua;Termômetro;Gerais
Fácil;Quantos jogadores tem um time de futebol em campo?;10;11;12;9;11;Gerais
Fácil;Qual é a cor da bandeira do Brasil que representa as matas?;Azul;Amarelo;Branco;Verde;Verde;Gerais
Fácil;O que comemoramos no dia 25 de dezembro?;Páscoa;Natal;Carnaval;Ano Novo;Natal;Gerais
Fácil;Qual é o nome do nosso planeta?;Marte;Lua;Terra;Sol;Terra;Gerais
Fácil;Qual animal é conhecido como o rei da selva?;Tigre;Elefante;Leão;Girafa;Leão;Gerais
Fácil;Quantos lados tem um triângulo?;2;3;4;5;3;Gerais
Fácil;Qual língua é falada nos Estados Unidos?;Português;Espanhol;Inglês;Francês;Inglês;Gerais
Fácil;Onde o sol nasce?;Norte;Sul;Leste;Oeste;Leste;Gerais
Fácil;Qual é o resultado de 2 + 2?;3;4;5;6;4;Gerais
Fácil;Qual objeto usamos para ver as horas?;Bússola;Relógio;Termômetro;Calculadora;Relógio;Gerais
Fácil;Qual é o personagem principal da Turma da Mônica?;Cebolinha;Cascão;Magali;Mônica;Mônica;Gerais
Fácil;Qual a cor do cavalo branco de Napoleão?;Preto;Marrom;Branco;Cinza;Branco;Gerais
Fácil;O que usamos para escovar os dentes?;Pente;Escova de dentes;Cotonete;Esponja;Escova de dentes;Gerais
Fácil;Qual mês vem depois de janeiro?;Março;Abril;Fevereiro;Dezembro;Fevereiro;Gerais
Fácil;Qual é o satélite natural da Terra?;Sol;Lua;Marte;Estrela;Lua;Gerais
Fácil;Qual cor obtemos misturando azul e amarelo?;Roxo;Laranja;Verde;Cinza;Verde;Gerais
Fácil;Quantos dedos temos em uma mão?;4;5;6;10;5;Gerais
Fácil;O que o peixe usa para respirar?;Nariz;Pulmões;Guelras;Boca;Guelras;Gerais
Fácil;Qual é o maior animal do mundo?;Elefante;Tubarão;Baleia Azul;Girafa;Baleia Azul;Gerais
Fácil;Qual estação do ano faz mais calor?;Inverno;Outono;Primavera;Verão;Verão;Gerais
Fácil;Quem pintou a Mona Lisa?;Van Gogh;Leonardo da Vinci;Picasso;Michelangelo;Leonardo da Vinci;Gerais
Fácil;Onde ficam as Pirâmides?;Brasil;Egito;China;Japão;Egito;Gerais
Fácil;Qual é o estado físico da água no gelo?;Líquido;Gasoso;Sólido;Vapor;Sólido;Gerais
Fácil;Qual animal mia?;Cachorro;Gato;Pato;Vaca;Gato;Gerais
Fácil;O que usamos para cortar papel?;Colher;Tesoura;Garfo;Martelo;Tesoura;Gerais
Fácil;Qual é a cor do sangue?;Azul;Verde;Vermelho;Amarelo;Vermelho;Gerais
Fácil;Quantas letras tem o alfabeto português?;23;25;26;27;26;Gerais
Fácil;Qual animal late?;Gato;Cachorro;Cavalo;Pato;Cachorro;Animais
Fácil;Qual animal tem tromba?;Girafa;Leão;Elefante;Hipopótamo;Elefante;Animais
Fácil;Qual animal produz leite?;Galinha;Vaca;Cobra;Peixe;Vaca;Animais
Fácil;Qual é o único mamífero que voa?;Avestruz;Morcego;Pinguim;Esquilo;Morcego;Animais
Fácil;Quantas patas tem uma aranha?;4;6;8;10;8;Animais
Fácil;Qual animal é conhecido por sua lentidão?;Guepardo;Coelho;Tartaruga;Cavalo;Tartaruga;Animais
Fácil;Qual animal tem o pescoço muito comprido?;Zebra;Elefante;Girafa;Leão;Girafa;Animais
Fácil;Onde os peixes vivem?;Na terra;No ar;Na água;No fogo;Na água;Animais
Fácil;Qual animal põe ovos e cacareja?;Pato;Galinha;Peru;Ganso;Galinha;Animais
Fácil;Qual animal é verde e pula no brejo?;Sapo;Cobra;Lagarto;Peixe;Sapo;Animais
Fácil;Qual animal tem listras pretas e brancas?;Cavalo;Zebra;Tigre;Vaca;Zebra;Animais
Fácil;O que o urso panda come principalmente?;Carne;Peixe;Bambu;Frutas;Bambu;Animais
Fácil;Qual pássaro é símbolo da paz?;Urubu;Pomba;Papagaio;Águia;Pomba;Animais
Fácil;Qual animal carrega a casa nas costas?;Cachorro;Caracol;Gato;Rato;Caracol;Animais
Fácil;Qual animal gosta de comer bananas?;Leão;Macaco;Tubarão;Lobo;Macaco;Animais
Fácil;Qual é o maior felino?;Gato;Tigre;Leão;Onça;Tigre;Animais
Fácil;Qual animal produz lã?;Vaca;Porco;Ovelha;Cabra;Ovelha;Animais
Fácil;Qual inseto produz mel?;Formiga;Abelha;Mosca;Besouro;Abelha;Animais
Fácil;Qual animal é o melhor amigo do homem?;Gato;Cachorro;Cavalo;Pássaro;Cachorro;Animais
Fácil;Qual animal muda de cor?;Camaleão;Lagartixa;Cobra;Sapo;Camaleão;Animais
Fácil;Qual animal vive na Antártida e não voa?;Pato;Pinguim;Gaivota;Pomba;Pinguim;Animais
Fácil;Qual animal é rosa e vive na lama?;Vaca;Ovelha;Porco;Cavalo;Porco;Animais
Fácil;Quantas patas tem um cachorro?;2;3;4;6;4;Animais
Fácil;Qual animal tem uma juba?;Tigre;Leão;Gato;Onça;Leão;Animais
Fácil;O girino é filhote de qual animal?;Peixe;Sapo;Cobra;Tartaruga;Sapo;Animais
Fácil;Qual animal faz "Muu"?;Gato;Cachorro;Vaca;Porco;Vaca;Animais
Fácil;Qual animal é conhecido por ter 7 vidas?;Cachorro;Gato;Papagaio;Tartaruga;Gato;Animais
Fácil;Qual destes animais é um réptil?;Sapo;Cachorro;Cobra;Galinha;Cobra;Animais
Fácil;Qual animal vive em uma colmeia?;Formiga;Abelha;Cupim;Aranha;Abelha;Animais
Fácil;Qual animal pula e carrega o filhote na bolsa?;Coelho;Canguru;Sapo;Gato;Canguru;Animais
Fácil;Qual animal tem o corpo coberto de escamas?;Cachorro;Peixe;Gato;Pássaro;Peixe;Animais
Fácil;Qual animal hiberna no inverno?;Urso;Leão;Zebra;Elefante;Urso;Animais
Fácil;Qual é o animal mais alto da terra?;Elefante;Girafa;Avestruz;Camelo;Girafa;Animais
Fácil;Qual pássaro não voa e corre rápido?;Pomba;Avestruz;Papagaio;Canário;Avestruz;Animais
Fácil;Qual animal tem chifres e produz leite?;Cabra;Cachorro;Gato;Galinha;Cabra;Animais
Fácil;Qual animal é conhecido por sua memória?;Peixe;Elefante;Gato;Rato;Elefante;Animais
Fácil;Qual animal constrói teias?;Formiga;Aranha;Abelha;Mosca;Aranha;Animais
Fácil;Qual animal é um crustáceo?;Peixe;Caranguejo;Baleia;Tubarão;Caranguejo;Animais
Fácil;Qual animal relincha?;Vaca;Ovelha;Cavalo;Porco;Cavalo;Animais
